# 泰深输入法专业词库 — 医学
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一年生植物	yinianshengzhiwu
小脑萎缩	xiaonaoweisuo
小腿溃疡	xiaotuikuiyang
小腿长	xiaotuizhang
小腿骨	xiaotuigu
小舞蹈病	xiaowudaobing
小蓟饮子	xiaojiyinzi
小角膜	xiaojiaomo
小诺霉素	xiaonuomeisu
小金丸	xiaojinwan
小金胶囊	xiaojinjiaonang
小针刀治疗	xiaozhendaozhiliao
小针刀疗法	xiaozhendaoliaofa
小阴茎	xiaoyinjing
小陷胸汤	xiaoxianxiongtang
小隐静脉	xiaoyinjingmai
小青龙口服液	xiaoqinglongkoufuye
小青龙合剂	xiaoqinglongheji
小青龙糖浆	xiaoqinglongtangjiang
小青龙颗粒	xiaoqinglongkeli
小骨盆	xiaogupen
小麦胚芽	xiaomaipeiya
少冲穴	shaochongxue
少商穴	shaoshangxue
少尿	shaoniao
少府穴	shaofuxue
少林跌打止痛膏	shaolindiedazhitonggao
少林风湿跌打膏	shaolinfengshidiedagao
少泽穴	shaozexue
少海穴	shaohaixue
少腹	shaofu
少腹急结	shaofujijie
少腹拘急	shaofujuji
少腹逐瘀丸	shaofuzhuyuwan
少腹逐瘀汤	shaofuzhuyutang
少腹逐瘀颗粒	shaofuzhuyukeli
少阳病	shaoyangbing
少阴病	shaoyinbing
尖头畸形	jiantoujixing
尤卓尔软膏	youzhuoerruangao
尤因肉瘤	youyinrouliu
尤怡	youyi
尪痹	wangbi
尪痹复康颗粒	wangbifukangkeli
就业与创业指导	jiuyeyuchuangyezhidao
尸体腐败	shitifubai
尸厥	shijue
尸道	shidao
尺侧腕伸肌	chicewanshenji
尺侧腕屈肌	chicewanquji
尺泽穴	chizexue
尺神经	chishenjing
尺神经损伤	chishenjingsunshang
尺神经麻痹	chishenjingmabi
尼卡地平	nikadiping
尼可刹米注射液	nikeshamizhusheye
尼尔雌醇片	niercichunpian
尼扎替丁	nizhatiding
尼美舒利	nimeishuli
尼美舒利分散片	nimeishulifensanpian
尼美舒利干混悬剂	nimeishuliganhunxuanji
尼美舒利片	nimeishulipian
尼美舒利胶囊	nimeishulijiaonang
尼美舒利颗粒	nimeishulikeli
尼美舒利颗粒剂	nimeishulikeliji
尼群地平片	niqundipingpian
尼群地平软胶囊	niqundipingruanjiaonang
尼莫司汀	nimositing
尼莫地平注射液	nimodipingzhusheye
尼莫地平片	nimodipingpian
尼莫地平胶囊	nimodipingjiaonang
尼麦角林	nimaijiaolin
尼麦角林注射液	nimaijiaolinzhusheye
尾脂腺	weizhixian
尾节	weijie
尾静脉	weijingmai
尾骨痛	weigutong
尿三杯试验	niaosanbeishiyan
尿促性素	niaocuxingsu
尿嘧啶替加氟片	niaomidingtijiafupian
尿囊素铝	niaonangsulv
尿塞通片	niaosaitongpian
尿妊娠试验	niaorenshenshiyan
尿布皮炎	niaobupiyan
尿常规检查	niaochangguijiancha
尿感宁颗粒	niaoganningkeli
尿毒排析散	niaodupaixisan
尿毒清	niaoduqing
尿毒清颗粒	niaoduqingkeli
尿毒症性心肌病	niaoduzhengxingxinjibing
尿毒症性脑病	niaoduzhengxingnaobing
尿流中断	niaoliuzhongduan
尿生殖膈	niaoshengzhige
尿痛	niaotong
尿瘘	niaolou
尿石	niaoshi
尿碘	niaodian
尿素乳膏	niaosurugao
尿素细菌	niaosuxijun
尿素软膏	niaosuruangao
尿红细胞位相	niaohongxibaoweixiang
尿苷	niaogan
尿血病	niaoxiebing
尿诊	niaozhen
尿路梗阻	niaolugengzu
尿道上裂	niaodaoshanglie
尿道下裂	niaodaoxialie
尿道下裂修复术	niaodaoxialiexiufushu
尿道损伤	niaodaosunshang
尿道海绵体	niaodaohaimianti
尿道狭窄	niaodaoxiazhai
尿道球部	niaodaoqiubu
尿道畸形	niaodaojixing
尿道癌	niaodaoai
尿道结石	niaodaojieshi
尿道综合征	niaodaozonghezheng
尿道肉阜	niaodaoroufu
尿道肿瘤	niaodaozhongliu
尿道腺	niaodaoxian
尿道造影	niaodaozaoying
尿道镜	niaodaojing
尿酸性肾病	niaosuanxingshenbing
局方至宝丸	jufangzhibaowan
局部作用	jubuzuoyong
局部免疫	jubumianyi
局部兴奋	jubuxingfen
局部反应	jubufanying
局部感染	jubuganran
局部浸润麻醉	jubujinrunmazui
局部肥胖	jubufeipang
局部解剖学	jubujiepouxue
局部麻醉	jubumazui
局限性多汗症	juxianxingduohanzheng
层板状鱼鳞病	cengbanzhuangyulinbing
屈光不正性弱视	quguangbuzhengxingruoshi
屈光参数	quguangcanshu
屈光手术学	quguangshoushuxue
屏风生脉胶囊	pingfengshengmaijiaonang
展筋活血散	zhanjinhuoxuesan
山东阿胶膏	shandongejiaogao
山中伸弥	shanzhongshenmi
山柰	shannai
山柰酚	shannaifen
山栀子	shanzhizi
山桃仁	shantaoren
山楂内金胶囊	shanzhaneijinjiaonang
山楂冲剂	shanzhachongji
山楂叶	shanzhaye
山楂核	shanzhahe
山楂炭	shanzhatan
山楂调中丸	shanzhadiaozhongwan
山楂降压胶囊	shanzhajiangyajiaonang
山玫胶囊	shanmeijiaonang
山绿茶	shanlvcha
山绿茶降压片	shanlvchajiangyapian
山胁东洋	shanxiedongyang
山荔枝	shanlizhi
山药丸	shanyaowan
山麦冬	shanmaidong
岩鹿乳康胶囊	yanlurukangjiaonang
岩黄连	yanhuanglian
岳美中	yuemeizhong
崩解剂	bengjieji
崩解时限	bengjieshixian
嵌体修复	qiantixiufu
嵌合抗体	qianhekangti
嵌甲	qianjia
嵌顿包茎	qiandunbaojing
嵌顿痔	qiandunzhi
川射干	chuanyegan
川百止痒洗剂	chuanbaizhiyangxiji
川芎茶调散	chuanqiongchadiaosan
川芎茶调颗粒	chuanqiongchadiaokeli
川花椒	chuanhuajiao
川西獐牙菜	chuanxizhangyacai
川贝枇杷糖浆	chuanbeipipatangjiang
川贝枇杷颗粒	chuanbeipipakeli
川贝止咳糖浆	chuanbeizhiketangjiang
川贝止咳露	chuanbeizhikelu
川贝清肺糖浆	chuanbeiqingfeitangjiang
川贝雪梨	chuanbeixueli
川贝雪梨膏	chuanbeixueligao
工业微生物	gongyeweishengwu
工业性氟病	gongyexingfubing
工业粉尘	gongyefenchen
工作疗法	gongzuoliaofa
左半结肠切除术	zuobanjiechangqiechushu
左卡尼汀	zuokaniting
左卡尼汀口服液	zuokanitingkoufuye
左归饮	zuoguiyin
左心房	zuoxinfang
左房	zuofang
左旋咪唑	zuoxuanmizuo
左旋门冬酰胺酶	zuoxuanmendongxiananmei
左束支传导阻滞	zuoshuzhichuandaozuzhi
左氧氟沙星	zuoyangfushaxing
左氧氟沙星注射液	zuoyangfushaxingzhusheye
左氧氟沙星滴眼液	zuoyangfushaxingdiyanye
左氧氟沙星片	zuoyangfushaxingpian
左炔诺孕酮	zuoguinuoyuntong
左炔诺孕酮片	zuoguinuoyuntongpian
左甲状腺素钠	zuojiazhuangxiansuna
左甲状腺素钠片	zuojiazhuangxiansunapian
左羟丙哌嗪	zuoqiangbingpaiqin
左西替利嗪	zuoxitiliqin
左金丸	zuojinwan
巨乳症	juruzheng
巨乳缩小术	jurusuoxiaoshu
巨噬细胞系统	jushixibaoxitong
巨大儿	judaer
巨幼红细胞性贫血	juyouhongxibaoxingpinxue
巨指	juzhi
巨细胞动脉炎	juxibaodongmaiyan
巨细胞病毒	juxibaobingdu
巨细胞病毒性肺炎	juxibaobingduxingfeiyan
巨舌	jushe
巨阙	juque
巨阙穴	juquexue
巩膜炎	gongmoyan
巩膜葡萄肿	gongmoputaozhong
巩膜黄染	gongmohuangran
差异心理学	chayixinlixue
差异表达	chayibiaoda
巯嘌呤片	qiupiaolingpian
巯基蛋白酶	qiujidanbaimei
己二烯雌酚	jierxicifen
己烯雌酚	jixicifen
己烯雌酚片	jixicifenpian
己烷雌酚	jiwancifen
巴尔通体病	baertongtibing
巴德年	badenian
巴戟口服液	bajikoufuye
巴戟胶囊	bajijiaonang
巴戟补酒	bajibujiu
巴比妥	babituo
巴氏消毒	bashixiaodu
巴豆中毒	badouzhongdu
巴贝虫病	babeichongbing
市立医院	shiliyiyuan
布地奈德	budinaide
布地奈德气雾剂	budinaideqiwuji
布托啡诺	butuofeinuo
布替萘芬	butinaifen
布林佐胺	bulinzuoan
布氏杆菌	bushiganjun
布氏田鼠	bushitianshu
布洛伪麻分散片	buluoweimafensanpian
布洛芬混悬液	buluofenhunxuanye
布洛芬混悬滴剂	buluofenhunxuandiji
布洛芬片	buluofenpian
布洛芬缓释混悬剂	buluofenhuanshihunxuanji
布洛芬缓释片	buluofenhuanshipian
布洛芬缓释胶囊	buluofenhuanshijiaonang
布洛芬胶囊	buluofenjiaonang
布洛芬软胶囊	buluofenruanjiaonang
布洛芬颗粒	buluofenkeli
布病	bubing
布美他尼	bumeitani
布袋澳	budaiao
布鲁氏杆菌病	bulushiganjunbing
布鲁氏菌病	bulushijunbing
布鲁菌病	bulujunbing
希刻劳	xikelao
希波克拉底	xibokeladi
希罗达	xiluoda
希舒美	xishumei
帕尼培南	panipeinan
帕珠沙星	pazhushaxing
帕米磷酸二钠	pamilinsuanerna
帕罗西汀	paluoxiting
帕金森叠加综合征	pajinsendiejiazonghezheng
帕金森综合征	pajinsenzonghezheng
带下病	daixiabing
带型	daixing
带脉穴	daimaixue
带虫者	daichongzhe
常居	changju
常模参照测验	changmocanzhaoceyan
常润茶	changruncha
常用护理技术	changyonghulijishu
常见急症处理	changjianjizhengchuli
帽状腱膜	maozhuangjianmo
幕下	muxia
干啰音	ganluoyin
干性坏疽	ganxinghuaiju
干性皮肤	ganxingpifu
干扰电疗法	ganraodianliaofa
干混悬剂	ganhunxuanji
干燥性角膜炎	ganzaoxingjiaomoyan
干燥综合征	ganzaozonghezheng
干部病房	ganbubingfang
干酪样坏死	ganlaoyanghuaisi
干酵母片	ganjiaomupian
平均潜伏期	pingjunqianfuqi
平扫	pingsao
平消片	pingxiaopian
平消胶囊	pingxiaojiaonang
平滑肌瘤	pinghuajiliu
平滑肌肉瘤	pinghuajirouliu
平痔胶囊	pingzhijiaonang
平衡易位	pinghengyiwei
平衡石	pinghengshi
平衡膳食	pinghengshanshi
平衡运动	pinghengyundong
平阳霉素	pingyangmeisu
年轻恒牙	nianqinghengya
年龄相关性白内障	nianlingxiangguanxingbaineizhang
并发性白内障	bingfaxingbaineizhang
并指	bingzhi
并指畸形	bingzhijixing
幸福止痛素	xingfuzhitongsu
幻肢痛	huanzhitong
幼儿急疹	youerjizhen
幼枝	youzhi
幼泻宁颗粒	youxieningkeli
幼稚型子宫	youzhixingzigong
幽门括约肌	youmenkuoyueji
幽门梗阻	youmengengzu
幽门狭窄	youmenxiazhai
幽门痉挛	youmenjingluan
幽门螺杆菌	youmenluoganjun
广东凉茶	guangdongliangcha
广东凉茶颗粒	guangdongliangchakeli
广场恐怖	guangchangkongbu
广泛性焦虑障碍	guangfanxingjiaolvzhangai
广藿香油	guanghuoxiangyou
广谱抗生素	guangpukangshengsu
广防己	guangfangji
庄绰	zhuangchuo
庄辉	zhuanghui
庆大霉素注射液	qingdameisuzhusheye
庆大霉素滴眼液	qingdameisudiyanye
庆大霉素片	qingdameisupian
序列测定	xulieceding
库欣综合征	kuxinzonghezheng
库鲁病	kulubing
应元岳	yingyuanyue
应力性骨折	yinglixingguzhe
应急办	yingjiban
应急预案	yingjiyuan
应激性溃疡	yingjixingkuiyang
应激性生活事件	yingjixingshenghuoshijian
应用文写作	yingyongwenxiezuo
底栖动物	diqidongwu
庚型肝炎病毒	gengxingganyanbingdu
废用性弱视	feiyongxingruoshi
康公庙	kanggongmiao
康力欣胶囊	kanglixinjiaonang
康复功能评定	kangfugongnengpingding
康复医学	kangfuyixue
康复医学概论	kangfuyixuegailun
康复工程	kangfugongcheng
康复心理学	kangfuxinlixue
康复护理	kangfuhuli
康复护理学	kangfuhulixue
康复护理技术	kangfuhulijishu
康复新液	kangfuxinye
康复治疗技术	kangfuzhiliaojishu
康复评定	kangfupingding
康妇消炎栓	kangfuxiaoyanshuan
康妇灵胶囊	kangfulingjiaonang
康妇炎胶囊	kangfuyanjiaonang
康欣胶囊	kangxinjiaonang
康王洗剂	kangwangxiji
康艾注射液	kangaizhusheye
康莱特注射液	kanglaitezhusheye
廉泉	lianquan
廉泉穴	lianquanxue
延丹益心胶囊	yandanyixinjiaonang
延生护宝液	yanshenghubaoye
延胡	yanhu
延胡索乙素	yanhusuoyisu
延髓背外侧综合征	yansuibeiwaicezonghezheng
延髓麻痹	yansuimabi
开关基因	kaiguanjiyin
开博通	kaibotong
开放性颅脑损伤	kaifangxinglunaosunshang
开放性骨折	kaifangxingguzhe
开窍于舌	kaiqiaoyushe
开胃健脾丸	kaiweijianpiwan
开胃理脾丸	kaiweilipiwan
开胸消食片	kaixiongxiaoshipian
开胸顺气丸	kaixiongshunqiwan
开角型青光眼	kaijiaoxingqingguangyan
异丙嗪胆汁片	yibingqindanzhipian
异丙安替比林	yibingantibilin
异丙托溴铵	yibingtuoxiuan
异丙托溴铵气雾剂	yibingtuoxiuanqiwuji
异丙肾上腺素	yibingshenshangxiansu
异丙酚	yibingfen
异位妊娠	yiweirenshen
异位肾	yiweishen
异功散	yigongsan
异博定	yiboding
异卡波肼	yikabojing
异卵双生	yiluanshuangsheng
异基因	yijiyin
异基因骨髓移植	yijiyingusuiyizhi
异尖线虫病	yijianxianchongbing
异山梨醇	yishanlichun
异常脑电图	yichangnaodiantu
异常血红蛋白	yichangxuehongdanbai
异戊巴比妥钠	yiwubabituona
异抗坏血酸	yikanghuaixuesuan
异染性	yiranxing
异染色质	yiransezhi
异氟烷	yifuwan
异氟醚	yifumi
异源多倍体	yiyuanduobeiti
异烟肼注射液	yiyanjingzhusheye
异烟肼片	yiyanjingpian
异物肉芽肿	yiwurouyazhong
异环磷酰胺	yihuanlinxianan
异甘草酸镁	yigancaosuanmei
异病同治	yibingtongzhi
异相睡眠	yixiangshuimian
异种抗体	yizhongkangti
异种抗原	yizhongkangyuan
异种移植物	yizhongyizhiwu
异黄樟素	yihuangzhangsu
异鼠李素	yishulisu
异龄林	yilinglin
弓动脉	gongdongmai
弓形虫病	gongxingchongbing
引流袋	yinliudai
弛张热	chizhangre
张丽珠	zhanglizhu
张力性尿失禁	zhanglixingniaoshijin
张力性气胸	zhanglixingqixiong
张子和	zhangzihe
张山雷	zhangshanlei
张志聪	zhangzhicong
张琦	zhangqi
张璐	zhanglu
弥可保	mikebao
弥散性血管内凝血	misanxingxueguanneiningxue
弱电解质	ruodianjiezhi
弱蛋白银	ruodanbaiyin
弱视训练	ruoshixunlian
弹性组织	tanxingzuzhi
弹性蛋白酶	tanxingdanbaimei
弹道系数	dandaoxishu
强力健身胶囊	qianglijianshenjiaonang
强力天麻杜仲胶囊	qianglitianmaduzhongjiaonang
强力安喘通	qianglianchuantong
强力定眩片	qianglidingxuanpian
强力感冒片	qiangliganmaopian
强力枇杷胶囊	qianglipipajiaonang
强力枇杷露	qianglipipalu
强力皮康王	qianglipikangwang
强力脑心康胶囊	qianglinaoxinkangjiaonang
强力霉素	qianglimeisu
强化免疫	qianghuamianyi
强回声	qianghuisheng
强直性肌营养不良	qiangzhixingjiyingyangbuliang
强碱中毒	qiangjianzhongdu
强筋健骨丸	qiangjinjianguwan
强肾养心胶囊	qiangshenyangxinjiaonang
强身胶囊	qiangshenjiaonang
强迫型人格障碍	qiangpoxingrengezhangai
强迫性神经症	qiangpoxingshenjingzheng
强酸中毒	qiangsuanzhongdu
强阳保肾丸	qiangyangbaoshenwan
强骨生血口服液	qianggushengxuekoufuye
强骨胶囊	qianggujiaonang
强龙益肾胶囊	qianglongyishenjiaonang
归元健脑片	guiyuanjiannaopian
归口管理	guikouguanli
归来穴	guilaixue
归脾丸	guipiwan
归脾汤	guipitang
归脾颗粒	guipikeli
归芍地黄丸	guishaodihuangwan
当归六黄汤	dangguiliuhuangtang
当归四逆汤	dangguisinitang
当归尾	dangguiwei
当归拈痛汤	dangguiniantongtang
当归散	dangguisan
当归流浸膏	dangguiliujingao
当归生姜羊肉汤	dangguishengjiangyangroutang
当归红花酊	dangguihonghuading
当归腹痛宁滴丸	dangguifutongningdiwan
当归芍药散	dangguishaoyaosan
当归苦参丸	dangguikushenwan
当归补血丸	dangguibuxuewan
当归补血口服液	dangguibuxuekoufuye
当归补血汤	dangguibuxuetang
当归饮子	dangguiyinzi
当归龙荟丸	dangguilonghuiwan
当归龙荟片	dangguilonghuipian
形势与政策	xingshiyuzhengce
彩色多普勒超声	caiseduopuleichaosheng
影像技术学	yingxiangjishuxue
往来寒热	wanglaihanre
往湾洲	wangwanzhou
徒手伤	tushoushang
得力生注射液	delishengzhusheye
得普利麻	depulima
得生胶囊	deshengjiaonang
得胜花园	deshenghuayuan
循环障碍	xunhuanzhangai
微丸	weiwan
微动脉	weidongmai
微囊化	weinanghua
微孔膜	weikongmo
微孔过滤	weikongguolv
微小按蚊	weixiaoanwen
微嵌合体	weiqianheti
微晶纤维素	weijingxianweisu
微核	weihe
微泡	weipao
微波治疗	weibozhiliao
微波疗法	weiboliaofa
微注射	weizhushe
微球蛋白	weiqiudanbai
微生物学与免疫学	weishengwuxueyumianyixue
微生物学检验	weishengwuxuejianyan
微生物检验技术	weishengwujianyanjishu
微生物药物学	weishengwuyaowuxue
微生物限度检查法	weishengwuxiandujianchafa
微笑线	weixiaoxian
微管蛋白	weiguandanbai
微粉硅胶	weifenguijiao
微细胞	weixibao
微脓肿	weinongzhong
微血栓	weixueshuan
微载体培养	weizaitipeiyang
微量元素肥料	weiliangyuansufeiliao
微量注射泵	weiliangzhushebeng
微静脉	weijingmai
心下痞硬	xinxiapiying
心主血脉	xinzhuxuemai
心俞	xinyu
心元胶囊	xinyuanjiaonang
心内注射	xinneizhushe
心前区疼痛	xinqianqutengtong
心功能不全	xingongnengbuquan
心动过速性心肌病	xindongguosuxingxinjibing
心包剥脱术	xinbaobaotuoshu
心包囊肿	xinbaonangzhong
心包积液	xinbaojiye
心包积血	xinbaojixue
心包穿刺术	xinbaochuancishu
心包肌	xinbaoji
心包腔	xinbaoqiang
心可宁胶囊	xinkeningjiaonang
心可舒片	xinkeshupian
心可舒颗粒	xinkeshukeli
心因性	xinyinxing
心因性失眠	xinyinxingshimian
心宝	xinbao
心室晚电位	xinshiwandianwei
心室率	xinshilv
心室肥厚	xinshifeihou
心室肥大	xinshifeida
心尖搏动	xinjianbodong
心律平	xinlvping
心律紊乱	xinlvwenluan
心悦胶囊	xinyuejiaonang
心悸失眠	xinjishimian
心悸病	xinjibing
心房粘液瘤	xinfangnianyeliu
心房间隔缺损	xinfangjiangequesun
心搏停止	xinbotingzhi
心搏骤停	xinbozhouting
心无忧片	xinwuyoupian
心气虚证	xinqixuzheng
心源性哮喘	xinyuanxingxiaochuan
心源性晕厥	xinyuanxingyunjue
心源性水肿	xinyuanxingshuizhong
心火上炎	xinhuoshangyan
心理学基础	xinlixuejichu
心理生理学	xinlishenglixue
心理疗法	xinliliaofa
心理神经免疫学	xinlishenjingmianyixue
心理科	xinlike
心理能动性	xinlinengdongxing
心理评估	xinlipinggu
心瓣膜	xinbanmo
心瓣膜病	xinbanmobing
心电向量图	xindianxiangliangtu
心电图异常	xindiantuyichang
心电图机	xindiantuji
心电监测	xindianjiance
心磷脂	xinlinzhi
心肌劳损	xinjilaosun
心肌抑制因子	xinjiyizhiyinzi
心肌挫伤	xinjicuoshang
心肌炎后遗症	xinjiyanhouyizheng
心肌纤维化	xinjixianweihua
心肌肌钙蛋白	xinjijigaidanbai
心肌肥大	xinjifeida
心肌衰竭	xinjishuaijie
心肌酶谱	xinjimeipu
心肝火旺	xinganhuowang
心肺功能	xinfeigongneng
心肺复苏	xinfeifusu
心肺复苏术	xinfeifusushu
心肺脑复苏	xinfeinaofusu
心肾不交	xinshenbujiao
心肾不交证	xinshenbujiaozheng
心脉隆注射液	xinmailongzhusheye
心脏传导阻滞	xinzangchuandaozuzhi
心脏停搏	xinzangtingbo
心脏恶性肿瘤	xinzangexingzhongliu
心脏扩大	xinzangkuoda
心脏损伤	xinzangsunshang
心脏杂音	xinzangzayin
心脏瓣膜病	xinzangbanmobing
心脏破裂	xinzangpolie
心脏神经官能症	xinzangshenjingguannengzheng
心脏移植术	xinzangyizhishu
心脏粘液瘤	xinzangnianyeliu
心脏肥大	xinzangfeida
心脏肿瘤	xinzangzhongliu
心脑健胶囊	xinnaojianjiaonang
心脑康	xinnaokang
心脑康胶囊	xinnaokangjiaonang
心脑欣胶囊	xinnaoxinjiaonang
心脑清软胶囊	xinnaoqingruanjiaonang
心脑血管疾病	xinnaoxueguanjibing
心脾两虚	xinpiliangxu
心脾两虚证	xinpiliangxuzheng
心舒胶囊	xinshujiaonang
心虚胆怯	xinxudanqie
心血不足	xinxuebuzu
心血管中枢	xinxueguanzhongshu
心血管内科	xinxueguanneike
心血管梅毒	xinxueguanmeidu
心血管病学	xinxueguanbingxue
心血管系统	xinxueguanxitong
心血管造影	xinxueguanzaoying
心衰病	xinshuaibing
心达康片	xindakangpian
心速宁胶囊	xinsuningjiaonang
心间隔	xinjiange
心音图	xinyintu
必嗽平	bisouping
必理通	bilitong
必需脂肪酸	bixuzhifangsuan
忍冬感冒颗粒	rendongganmaokeli
志贺菌属	zhihejunshu
志贺菌病	zhihejunbing
快克	kuaike
快速冷冻	kuaisulengdong
快速动眼期	kuaisudongyanqi
念珠菌感染	nianzhujunganran
念珠菌病	nianzhujunbing
态度量表	taiduliangbiao
思博海	sibohai
思想道德修养	sixiangdaodexiuyang
思维障碍	siweizhangai
思诺思	sinuosi
思过半矣	siguobanyi
急下存阴	jixiacunyin
